_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,counter_x,from_messages_x,channel_request_x,channel_req_targeted_by_x,source_x,counter_y,from_messages_y,channel_request_y,channel_req_targeted_by_y,source_y,counter_x.1,from_messages_x.1,channel_request_x.1,channel_req_targeted_by_x.1,source_x.1,counter_y.1,from_messages_y.1,channel_request_y.1,channel_req_targeted_by_y.1,source_y.1,counter_x.2,from_messages_x.2,channel_request_x.2,channel_req_targeted_by_x.2,source_x.2,counter_y.2,from_messages_y.2,channel_request_y.2,channel_req_targeted_by_y.2,source_y.2,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1228946795,a user,{'_': 'ChatPhotoEmpty'},2019-03-15 13:01:57+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6002221038250764813,HiddenSender,[],,,,320815,[],,,,,,3.0,3.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1339875051,MS News,"{'_': 'ChatPhoto', 'photo_id': 6237582271452393519, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08>O\xf6\xbfJ(\xa2\xb0=\x0b\x1f'}",2019-08-04 01:16:36+00:00,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-430425467373536997,mustsharenews,[],,,,50153,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1255337314,SG Concerts by Bandwagon,"{'_': 'ChatPhoto', 'photo_id': 1180494361879750817, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xca\x1bvw\xdf\x9f\xc3\x14QEYG'}",2019-03-09 18:18:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6379050070160364177,sgconcerts,[],,,,43277,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1374514533,heaRHtfelt messages🤍,"{'_': 'ChatPhoto', 'photo_id': 6071126201101036332, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd4\xa2\x8a(4?'}",2020-10-15 08:18:35+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3348901679698595495,heaRHtfeltchannel,[],,,,302,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1318965360,talking to tallkoh,"{'_': 'ChatPhoto', 'photo_id': 6320976813920203542, 'dc_id': 5, 'has_video': True, 'stripped_thumb': b'\x01\x08\x08\xc8^\x84q\xcd\x14Q@\x1f'}",2022-08-13 02:48:42+00:00,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2996991817807466191,talktotallkoh,[],"{'_': 'ChatAdminRights', 'change_info': True, 'post_messages': True, 'edit_messages': True, 'delete_messages': True, 'ban_users': True, 'invite_users': True, 'pin_messages': True, 'add_admins': True, 'anonymous': False, 'manage_call': True, 'other': True, 'manage_topics': True}",,,30,[],,,,,,,,,,,1.0,0.0,1.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,
Channel,1609498893,NUS SoC 23/24 Freshmen,"{'_': 'ChatPhoto', 'photo_id': 6253778648960185867, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa0\x1b\nT\xf2\xe4\xe4q\xd0\xd1E\x15fm\x9f'}",2023-05-16 10:49:21+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7397031942974611274,socfreshmen2324,[],"{'_': 'ChatAdminRights', 'change_info': True, 'post_messages': True, 'edit_messages': True, 'delete_messages': True, 'ban_users': True, 'invite_users': True, 'pin_messages': False, 'add_admins': True, 'anonymous': False, 'manage_call': True, 'other': True, 'manage_topics': False}",,,1082,[],,,,,,,,,,,,,,,,1.0,0.0,1.0,{'channels': ['self']},['socfreshmen2324'],,,,,,,,,,,,,,,
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
